V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14
Alabama        2010 10  4779736 40,933 64.30  2.59  3362877 1259224  32903   55240   5208   64284  1336
Arizona        2010 10  6392017 46,896 62.70  1.35  5418483  280905 335278  188456  16112  152783  1140
Arkansas       2010 10  2915918 38,587 62.70  1.31  2342403  454021  26134   37537   6685   49138   122
California     2010 10 37253956 54,283 60.50  3.00 27636403 2486549 622107 5038123 181431 1289343  3693
Colorado       2010 10  5029196 60,233 49.20  1.41  4450623  214919  78144  144819   8420  132271   769
Connecticut    2010 10  3574097 65,998 52.80  5.47  2950820  392131  16734  140516   3491   70405    62
Delaware       2010 10   897934 55,214 58.60  5.64   645770  196281   5929   29342    690   19922    61
Georgia        2010 10  9687653 44,117 64.80  1.48  6144931 2993927  48599  323459  10454  166283  4056
Idaho          2010 10  1567582 47,050 47.50  2.49  1476097   10950  25782   20034   2786   31933   297
Illinois       2010 10 12830632 50,728 56.50  1.32 10030587 1903458  73846  604399   7436  210906  2997
Indiana        2010 10  6483802 46,139 56.00  1.17  5638833  603797  24487  105535   3532  107618   408
Iowa           2010 10  3046355 49,016 53.90  0.91  2839615   91695  13563   54232   2419   44831    67
Kansas         2010 10  2853118 46,054 59.10  0.69  2501057  173298  33044   69628   2864   73227   233
Kentucky       2010 10  4339367 41,104 58.20  1.69  3864193  342804  12105   50177   3199   66889   132
Louisiana      2010 10  4533372 39,300 68.30  1.29  2902875 1462969  33037   71829   2588   60074  1936
Maine          2010 10  1328361 47,931 45.20  5.93  1269764   16269   8771   13783    377   19397   106
Maryland       2010 10  5773552 64,201 57.80  4.82  3541379 1731513  30885  326655   5391  137729   682
Massachusetts  2010 10  6547629 60,934 61.50  6.49  5524937  504365  29944  359673   5971  122739  1046
Michigan       2010 10  9883640 46,276 49.90  2.01  7949497 1416067  68396  243062   3442  203176   564
Minnesota      2010 10  5303925 52,321 49.10  2.25  4623461  280949  67325  217792   2958  111440   198
Mississippi    2010 10  2967297 38,160 65.10  1.73  1789391 1103101  16837   26477   1700   29791  2636
